Order_ID,Latency_Microseconds
0,8
1,48
2,1
3,16
4,18
5,10
6,16
7,3
8,11
9,16
10,21
11,11
12,3
13,2
14,2
15,3
16,14
17,11
18,17
19,35
20,8
21,8
22,1
23,6
24,11
25,11
26,22
27,2
28,4
29,21
30,2
31,2
32,3
33,5
34,8
35,3
36,3
37,10
38,3
39,19
40,17
41,2
42,6
43,3
44,3
45,2
46,12
47,15
48,3
49,19
50,11
51,7
52,11
53,2
54,12
55,10
56,2
57,14
58,4
59,2
60,3
61,13
62,17
63,10
64,5
65,3
66,4
67,21
68,23
69,15
70,14
71,9
72,2
73,2
74,4
75,14
76,11
77,8
78,6
79,11
80,13
81,10
82,2
83,2
84,3
85,5
86,2
87,2
88,3
89,4
90,3
91,2
92,9
93,70
94,3
95,17
96,3
97,2
98,4
99,2
100,3
101,4
102,2
103,1
104,1
105,15
106,17
107,14
108,3
109,16
110,2
111,4
112,2
113,2
114,4
115,3
116,2
117,25
118,20
119,3
120,4
121,3
122,3
123,2
124,2
125,9
126,1
127,1
128,3
129,4
130,3
131,59
132,3
133,3
134,9
135,2
136,17
137,1
138,9
139,2
140,16
141,63
142,4
143,1
144,12
145,4
146,14
147,2
148,4
149,3
150,15
151,12
152,19
153,2
154,4
155,3
156,12
157,16
158,2
159,4
160,2
161,3
162,18
163,14
164,12
165,4
166,4
167,3
168,2
169,4
170,2
171,1
172,2
173,7
174,21
175,63
176,16
177,15
178,4
179,2
180,14
181,4
182,16
183,31
184,2
185,2
186,3
187,13
188,3
189,3
190,2
191,12
192,2
193,3
194,12
195,4
196,3
197,1
198,4
199,3
200,4
201,12
202,2
203,10
204,3
205,3
206,4
207,4
208,12
209,2
210,3
211,20
212,3
213,6
214,2
215,4
216,4
217,2
218,17
219,3
220,25
221,3
222,3
223,5
224,15
225,4
226,5
227,3
228,3
229,2
230,5
231,8
232,4
233,4
234,15
235,2
236,3
237,20
238,3
239,22
240,4
241,12
242,27
243,3
244,6
245,18
246,10
247,4
248,4
249,14
250,2
251,4
252,17
253,11
254,5
255,4
256,13
257,4
258,23
259,4
260,9
261,19
262,7
263,3
264,4
265,16
266,9
267,2
268,13
269,3
270,2
271,3
272,28
273,5
274,11
275,3
276,8
277,5
278,3
279,13
280,3
281,3
282,14
283,3
284,2
285,3
286,12
287,2
288,3
289,1
290,2
291,12
292,4
293,12
294,2
295,6
296,17
297,9
298,3
299,11
300,3
301,4
302,3
303,13
304,2
305,4
306,2
307,4
308,9
309,15
310,23
311,21
312,2
313,13
314,3
315,24
316,91
317,19
318,2
319,11
320,5
321,15
322,3
323,3
324,2
325,2
326,2
